rank,game_id,player_id,player_name,game_date,opponent_team,pts,ast,reb,points_via_assists,pts_generated_3pt,pts_generated_2pt,pts_generated_ft,total_points_touched,team_result,home_away
1,0022500199,1630595,Cade Cunningham,2025-11-10,WAS,46,11,12,30,24,6,0,76,W,Home
2,0022500109,1630163,LaMelo Ball,2025-10-26,WAS,38,13,13,33,21,12,0,71,W,Away
3,0022500749,1642264,Stephon Castle,2026-02-07,DAL,40,12,12,29,15,14,0,69,W,Home
4,0022500340,1630552,Jalen Johnson,2025-12-05,DEN,21,16,18,48,36,12,0,69,L,Home
5,0022500072,1630595,Cade Cunningham,2025-11-28,ORL,39,11,13,28,18,10,0,67,L,Home
6,0022500046,201935,James Harden,2025-11-14,DAL,41,11,14,25,9,16,0,66,W,Away
7,0022500227,1630552,Jalen Johnson,2025-11-13,UTA,31,14,18,34,18,16,0,65,W,Away
8,0022500305,1630166,Deni Avdija,2025-11-30,OKC,31,10,19,30,30,0,0,61,L,Home
9,0022500943,1630581,Josh Giddey,2026-03-10,GSW,21,17,13,40,18,22,0,61,W,Away
10,0022500206,201935,James Harden,2025-11-10,ATL,35,11,10,26,12,14,0,61,L,Home
11,0022500240,1630581,Josh Giddey,2025-11-16,UTA,26,13,13,34,24,10,0,60,L,Away
12,0022500167,1630581,Josh Giddey,2025-11-04,PHI,29,12,15,31,21,10,0,60,W,Home
13,0022500263,1630166,Deni Avdija,2025-11-19,CHI,32,11,11,27,15,12,0,59,L,Home
14,0022500351,1630552,Jalen Johnson,2025-12-06,WAS,30,12,12,28,12,16,0,58,W,Away
15,0022501225,1630578,Alperen Sengun,2025-12-15,DEN,33,10,10,25,15,10,0,58,L,Away
16,0022500069,1630552,Jalen Johnson,2025-11-28,CLE,29,12,12,29,15,14,0,58,W,Home
17,0022500720,1630552,Jalen Johnson,2026-02-03,MIA,29,11,11,28,18,10,0,57,W,Away
18,0022501042,1630578,Alperen Sengun,2026-03-23,CHI,33,10,13,24,12,12,0,57,L,Away
19,0022500698,1630552,Jalen Johnson,2026-01-31,IND,33,10,11,23,9,14,0,56,L,Away
20,0022500799,1627759,Jaylen Brown,2026-02-19,GSW,23,13,15,33,21,12,0,56,W,Away
21,0022500637,1627759,Jaylen Brown,2026-01-23,BKN,27,12,10,29,15,14,0,56,W,Away
22,0022500983,1630552,Jalen Johnson,2026-03-16,ORL,24,13,15,32,18,14,0,56,W,Home
23,0022500845,1630578,Alperen Sengun,2026-02-25,SAC,26,11,13,30,24,6,0,56,W,Home
24,0022500013,203999,Nikola Jokić,2025-12-25,MIN,56,15,16,0,0,0,0,56,W,Home
25,0022500958,1642264,Stephon Castle,2026-03-12,DEN,30,10,11,26,18,8,0,56,L,Home
26,0022500628,203954,Joel Embiid,2026-01-22,HOU,32,10,15,23,9,14,0,55,W,Home
27,0022500329,1630581,Josh Giddey,2025-12-03,BKN,28,11,11,27,15,12,0,55,L,Home
28,0022500490,1630166,Deni Avdija,2026-01-03,SAS,29,10,10,26,18,8,0,55,W,Away
29,0022500364,201566,Russell Westbrook,2025-12-08,IND,24,14,12,31,9,22,0,55,L,Away
30,0022500220,1641705,Victor Wembanyama,2025-11-12,GSW,31,10,15,24,12,12,0,55,L,Home
31,0022500411,1630581,Josh Giddey,2025-12-23,ATL,19,15,11,35,15,20,0,54,W,Away
32,0022500366,1642852,Derik Queen,2025-12-08,SAS,33,10,10,21,3,18,0,54,L,Home
33,0022500735,1630552,Jalen Johnson,2026-02-05,UTA,22,15,16,32,6,26,0,54,W,Home
34,0022500153,1630581,Josh Giddey,2025-11-02,NYK,23,12,11,31,21,10,0,54,L,Away
35,0022500791,2544,LeBron James,2026-02-12,DAL,28,12,10,26,6,20,0,54,W,Home
36,0022500036,203944,Julius Randle,2025-11-07,UTA,19,12,10,32,24,8,0,51,W,Home
37,0022501206,1629645,Kevin Porter Jr.,2025-12-11,BOS,18,13,10,33,15,18,0,51,W,Home
38,0022500777,1629645,Kevin Porter Jr.,2026-02-11,ORL,18,11,10,33,15,18,0,51,W,Away
39,0022500367,1630581,Josh Giddey,2025-12-17,CLE,23,11,11,27,15,12,0,50,W,Home
40,0022500377,1631094,Paolo Banchero,2025-12-18,DEN,26,10,16,24,12,12,0,50,L,Away
41,0022500930,201566,Russell Westbrook,2026-03-08,CHI,23,12,11,26,6,20,0,49,W,Home
42,0022500970,1630552,Jalen Johnson,2026-03-14,MIL,23,12,10,26,6,20,0,49,W,Home
43,0022500987,1630581,Josh Giddey,2026-03-16,MEM,16,13,15,32,18,14,0,48,W,Home
44,0022500302,1627759,Jaylen Brown,2025-11-30,CLE,19,11,12,28,18,10,0,47,W,Away
45,0022500181,201566,Russell Westbrook,2025-11-05,GSW,23,10,16,24,12,12,0,47,W,Home
46,0022500390,1630595,Cade Cunningham,2025-12-20,CHA,22,10,10,24,12,12,0,46,W,Home
47,0022500451,1631094,Paolo Banchero,2025-12-29,TOR,23,10,15,23,9,14,0,46,L,Away
48,0022501210,1630552,Jalen Johnson,2025-12-12,DET,19,12,11,27,9,18,0,46,L,Away
