game_id,player_id,player_name,game_date,season,opponent_team,home_away,team_result,pts,ast,reb,stl,blk,tov,minutes_played
0022400075,203999,Nikola Jokić,2024-10-24,2024-25,OKC,Home,L,16,13,12,2,1,3,35
0022400096,2544,LeBron James,2024-10-26,2024-25,SAC,Home,W,32,10,14,0,1,5,34
0022400096,1627734,Domantas Sabonis,2024-10-26,2024-25,LAL,Away,L,29,10,12,1,1,2,37
0022400113,203999,Nikola Jokić,2024-10-29,2024-25,BKN,Away,W,29,16,18,0,1,1,41
0022400128,1629630,Ja Morant,2024-10-31,2024-25,MIL,Home,W,26,14,10,1,0,3,29
0022400131,201935,James Harden,2024-10-31,2024-25,PHX,Home,L,25,13,10,2,2,6,36
0022400143,1627734,Domantas Sabonis,2024-11-02,2024-25,TOR,Away,L,17,10,20,1,0,3,43
0022400166,203999,Nikola Jokić,2024-11-04,2024-25,TOR,Home,W,28,13,14,1,2,7,38
0022400156,1630595,Cade Cunningham,2024-11-04,2024-25,LAL,Home,W,17,11,11,0,0,3,36
0022400180,1627734,Domantas Sabonis,2024-11-06,2024-25,TOR,Home,W,17,13,11,1,0,0,34
0022400169,1630595,Cade Cunningham,2024-11-06,2024-25,CHA,Away,L,20,10,10,0,0,2,38
0022400177,203999,Nikola Jokić,2024-11-06,2024-25,OKC,Home,W,23,16,20,2,2,5,39
0022400191,1630590,Scotty Pippen Jr.,2024-11-08,2024-25,WAS,Home,W,11,11,10,1,0,2,28
0022400185,1630595,Cade Cunningham,2024-11-08,2024-25,ATL,Home,W,22,13,11,1,1,7,36
0022400194,203999,Nikola Jokić,2024-11-08,2024-25,MIA,Home,W,30,14,11,2,0,5,40
0022400195,2544,LeBron James,2024-11-08,2024-25,PHI,Home,W,21,13,12,0,3,2,34
0022400208,203999,Nikola Jokić,2024-11-10,2024-25,DAL,Home,W,37,15,18,3,0,4,38
0022400211,2544,LeBron James,2024-11-10,2024-25,TOR,Home,W,19,16,10,1,0,3,35
0022400001,1630552,Jalen Johnson,2024-11-12,2024-25,BOS,Away,W,18,10,12,3,1,3,39
0022400004,1628404,Josh Hart,2024-11-12,2024-25,PHI,Away,W,14,10,12,1,1,4,37
0022400225,2544,LeBron James,2024-11-13,2024-25,MEM,Home,W,35,14,12,1,0,6,37
0022400016,1630578,Alperen Sengun,2024-11-15,2024-25,LAC,Home,W,16,10,10,2,2,1,33
0022400015,2544,LeBron James,2024-11-15,2024-25,SAS,Away,W,15,12,16,1,0,7,38
0022400229,203507,Giannis Antetokounmpo,2024-11-16,2024-25,CHA,Away,L,22,12,15,0,2,2,33
0022400230,1629628,RJ Barrett,2024-11-16,2024-25,BOS,Away,L,25,15,10,1,1,1,42
0022400241,1630578,Alperen Sengun,2024-11-17,2024-25,CHI,Away,W,20,11,10,0,1,0,26
0022400237,1630595,Cade Cunningham,2024-11-17,2024-25,WAS,Away,W,21,10,10,5,1,2,31
0022400023,201566,Russell Westbrook,2024-11-19,2024-25,MEM,Away,W,12,14,10,2,1,5,32
0022400029,203507,Giannis Antetokounmpo,2024-11-22,2024-25,IND,Home,W,37,11,10,2,1,6,35
0022400033,203999,Nikola Jokić,2024-11-22,2024-25,DAL,Home,L,33,10,17,0,0,3,39
0022400037,1630578,Alperen Sengun,2024-11-26,2024-25,MIN,Away,W,22,11,10,3,3,2,42
0022400296,2544,LeBron James,2024-11-27,2024-25,SAS,Away,W,16,11,10,1,1,5,33
0022400049,1627734,Domantas Sabonis,2024-11-29,2024-25,POR,Away,L,21,11,14,1,1,5,41
0022400046,1628389,Bam Adebayo,2024-11-29,2024-25,TOR,Home,W,14,10,10,3,0,1,35
0022400046,1630567,Scottie Barnes,2024-11-29,2024-25,MIA,Away,L,24,10,10,1,1,5,38
0022400302,203507,Giannis Antetokounmpo,2024-11-30,2024-25,WAS,Home,W,42,11,12,0,1,4,38
0022400313,1641705,Victor Wembanyama,2024-12-01,2024-25,SAC,Away,W,34,11,14,1,3,5,37
0022400314,203999,Nikola Jokić,2024-12-01,2024-25,LAC,Away,L,28,11,14,1,1,5,39
0022400317,1630581,Josh Giddey,2024-12-02,2024-25,BKN,Home,W,20,11,13,1,1,5,32
0022400053,1628404,Josh Hart,2024-12-03,2024-25,ORL,Home,W,11,10,13,3,0,4,39
0022400325,203999,Nikola Jokić,2024-12-05,2024-25,CLE,Away,L,27,11,20,3,0,3,39
0022400331,1630245,Ayo Dosunmu,2024-12-05,2024-25,SAS,Away,W,27,11,10,3,0,1,35
0022400326,1629029,Luka Dončić,2024-12-05,2024-25,WAS,Away,W,21,10,10,2,1,4,32
0022400334,2544,LeBron James,2024-12-06,2024-25,ATL,Away,L,39,11,10,2,3,4,43
0022400344,1629029,Luka Dončić,2024-12-07,2024-25,TOR,Away,W,30,11,13,4,0,4,38
0022400343,1630595,Cade Cunningham,2024-12-07,2024-25,NYK,Away,W,29,15,10,1,0,3,35
0022400347,1630178,Tyrese Maxey,2024-12-08,2024-25,CHI,Away,W,25,14,11,1,0,3,42
0022401206,1629628,RJ Barrett,2024-12-12,2024-25,MIA,Away,L,13,10,11,0,3,6,34
0022401228,1629029,Luka Dončić,2024-12-15,2024-25,GSW,Away,W,45,13,11,3,2,3,38
0022401221,1630595,Cade Cunningham,2024-12-16,2024-25,MIA,Home,W,20,18,11,0,1,4,42
0022401225,203999,Nikola Jokić,2024-12-16,2024-25,SAC,Away,W,20,13,14,2,1,5,38
0022401221,202710,Jimmy Butler III,2024-12-16,2024-25,DET,Away,L,35,10,19,4,1,0,44
0022400381,1628369,Jayson Tatum,2024-12-21,2024-25,CHI,Away,W,43,10,15,0,0,4,36
0022400390,203999,Nikola Jokić,2024-12-22,2024-25,NOP,Away,W,27,10,13,1,1,3,43
0022400404,2544,LeBron James,2024-12-23,2024-25,DET,Home,L,28,11,11,0,0,2,35
0022400408,1630559,Austin Reaves,2024-12-25,2024-25,GSW,Away,W,26,10,10,1,0,3,37
0022400424,203999,Nikola Jokić,2024-12-27,2024-25,CLE,Home,L,27,13,14,3,0,1,36
0022400430,1630581,Josh Giddey,2024-12-28,2024-25,MIL,Home,W,23,10,15,1,1,2,29
0022400445,203999,Nikola Jokić,2024-12-30,2024-25,UTA,Away,W,36,11,22,4,0,2,38
0022400443,1628404,Josh Hart,2024-12-30,2024-25,WAS,Away,W,23,10,15,2,0,1,41
0022400445,201566,Russell Westbrook,2024-12-30,2024-25,UTA,Away,W,16,10,10,4,0,0,33
0022400458,1628404,Josh Hart,2025-01-01,2024-25,UTA,Home,W,15,12,14,1,1,7,45
0022400461,203999,Nikola Jokić,2025-01-01,2024-25,ATL,Home,W,23,15,17,0,1,2,30
0022400489,1627749,Dejounte Murray,2025-01-05,2024-25,WAS,Away,W,14,12,10,0,0,4,36
0022400497,203507,Giannis Antetokounmpo,2025-01-06,2024-25,TOR,Away,W,11,13,12,0,0,7,29
0022400501,1627734,Domantas Sabonis,2025-01-06,2024-25,MIA,Home,W,21,11,18,1,3,6,50
0022400501,1631170,Jaime Jaquez Jr.,2025-01-06,2024-25,SAC,Away,L,16,10,12,5,1,3,46
0022400531,203999,Nikola Jokić,2025-01-10,2024-25,BKN,Home,W,35,15,12,4,0,1,38
0022400531,201566,Russell Westbrook,2025-01-10,2024-25,BKN,Home,W,25,10,11,1,1,2,36
0022400534,1630595,Cade Cunningham,2025-01-11,2024-25,TOR,Home,W,22,17,10,1,2,8,37
0022400559,203999,Nikola Jokić,2025-01-14,2024-25,DAL,Away,W,10,10,14,2,0,1,29
0022400558,203507,Giannis Antetokounmpo,2025-01-14,2024-25,SAC,Home,W,33,13,11,0,2,3,37
0022400561,1628404,Josh Hart,2025-01-15,2024-25,PHI,Away,W,10,12,17,4,0,3,49
0022400579,203999,Nikola Jokić,2025-01-17,2024-25,MIA,Away,W,24,10,12,1,0,2,31
0022400593,203999,Nikola Jokić,2025-01-19,2024-25,ORL,Away,W,20,10,14,3,3,2,30
0022400610,2544,LeBron James,2025-01-21,2024-25,WAS,Home,W,21,13,10,2,1,5,36
0022400609,203999,Nikola Jokić,2025-01-21,2024-25,PHI,Home,W,27,10,13,4,1,2,30
0022400626,203999,Nikola Jokić,2025-01-23,2024-25,SAC,Home,W,35,17,22,1,2,1,37
0022400983,201935,James Harden,2025-01-23,2024-25,WAS,Home,W,17,13,12,1,1,6,32
0022400624,203081,Damian Lillard,2025-01-23,2024-25,MIA,Home,W,29,11,10,2,0,1,36
0022400641,1628404,Josh Hart,2025-01-25,2024-25,SAC,Home,W,20,11,18,1,2,3,40
0022400646,203081,Damian Lillard,2025-01-25,2024-25,LAC,Away,L,29,10,10,1,1,4,40
0022400640,1641708,Amen Thompson,2025-01-25,2024-25,CLE,Away,W,23,10,14,1,2,3,41
0022400641,1627734,Domantas Sabonis,2025-01-25,2024-25,NYK,Away,L,25,12,13,0,0,4,34
0022400651,1627734,Domantas Sabonis,2025-01-27,2024-25,BKN,Away,W,21,10,22,0,0,6,41
0022400655,203999,Nikola Jokić,2025-01-27,2024-25,CHI,Away,L,33,14,12,1,1,4,40
0022400669,1627734,Domantas Sabonis,2025-01-29,2024-25,PHI,Away,L,13,11,14,1,0,4,40
0022400692,2544,LeBron James,2025-02-01,2024-25,NYK,Away,W,33,12,11,0,0,5,37
0022400692,1628404,Josh Hart,2025-02-01,2024-25,LAL,Home,L,26,11,13,2,0,2,38
0022400688,203999,Nikola Jokić,2025-02-01,2024-25,CHA,Away,W,28,17,13,4,1,4,37
0022400695,202696,Nikola Vučević,2025-02-02,2024-25,DET,Away,L,20,10,11,1,2,3,36
0022400706,203999,Nikola Jokić,2025-02-03,2024-25,NOP,Home,W,27,10,14,1,2,1,36
0022400702,1641708,Amen Thompson,2025-02-03,2024-25,NYK,Away,L,25,11,11,2,1,3,37
0022400700,1628970,Miles Bridges,2025-02-03,2024-25,WAS,Home,L,24,10,10,0,0,2,37
0022400712,203954,Joel Embiid,2025-02-04,2024-25,DAL,Home,W,29,10,11,1,0,5,36
0022400720,1641731,Bilal Coulibaly,2025-02-05,2024-25,BKN,Away,W,11,11,10,2,1,6,31
0022400730,203999,Nikola Jokić,2025-02-06,2024-25,ORL,Home,W,28,12,10,2,0,3,31
0022400752,1630595,Cade Cunningham,2025-02-09,2024-25,CHA,Home,W,19,12,10,1,1,5,37
0022400779,1641708,Amen Thompson,2025-02-12,2024-25,PHX,Home,W,18,11,10,2,2,3,41
0022400780,203999,Nikola Jokić,2025-02-12,2024-25,POR,Home,W,26,10,15,2,0,4,36
0022400789,1628369,Jayson Tatum,2025-02-20,2024-25,PHI,Away,W,15,10,11,1,0,3,35
